Code,Name,LongName,Market,Sector,SubSector,Price,FiftyTwoWeek,Volume,EPS,DPS,NTA,PE,DY,ROE,PTBV,MarketCapInMillion
0396,ADNEX [s],ADNEX GROUP BERHAD,Ace Market,Construction,Construction,0.235000,0.225-0.275,18,2.200000,0.000000,0.030000,10.690000,0.000000,18.310000,7.830000,117.500000
0360,SAG [s],SIGNATURE ALLIANCE GROUP BERHAD,Ace Market,Construction,Construction,0.730000,0.670-0.925,4,4.380000,2.000000,0.240000,16.650000,2.740000,18.260000,3.040000,730.000000
6633,LHI,LEONG HUP INTERNATIONAL BERHAD,Main Market,Consumer Products & Services,Agricultural Products,0.725000,0.560-0.835,26,13.700000,2.000000,0.757000,5.290000,2.760000,18.100000,0.960000,2650.990000
5331,PGLOBAL [s],PANTECH GLOBAL BERHAD,Main Market,Industrial Products & Services,Metals,0.465000,0.380-0.625,4,11.030000,3.000000,0.610000,4.220000,6.450000,18.080000,0.760000,395.250000
0222,OPTIMAX [s],OPTIMAX HOLDINGS BERHAD,Main Market,Health Care,Health Care Providers,0.530000,0.465-0.715,2,2.530000,1.400000,0.140000,20.940000,2.640000,18.080000,3.790000,287.950000
03053,CCIB [s],CC INTERNATIONAL BERHAD,Leap Market,Consumer Products & Services,Consumer Services,0.350000,0.350-0.350,0,3.070000,1.260000,0.170000,11.420000,3.600000,18.030000,2.060000,167.890000
3026,DLADY [s],DUTCH LADY MILK INDUSTRIES BERHAD,Main Market,Consumer Products & Services,Food & Beverages,32.000000,26.100-33.800,37,161.380000,50.000000,8.960000,19.830000,1.560000,18.010000,3.570000,2048.000000
5321,KEYFIELD [s],KEYFIELD INTERNATIONAL BERHAD,Main Market,Energy,"Energy, Infrastructure, Equipment & Services",1.400000,1.300-2.230,607,17.610000,9.000000,0.980000,7.950000,6.430000,17.970000,1.430000,1133.570000
5027,KMLOONG [s],KIM LOONG RESOURCES BERHAD,Main Market,Plantation,Plantation,2.490000,2.120-2.520,1,17.200000,14.000000,0.960000,14.480000,5.620000,17.910000,2.590000,2448.990000
1929,CHINTEK,CHIN TECK PLANTATIONS BERHAD,Main Market,Plantation,Plantation,11.040000,7.700-11.760,53,221.140000,51.000000,12.380000,4.990000,4.620000,17.860000,0.890000,1008.650000
0827EA,EQ8US50 [s],EQ8 DOW JONES US TITANS 50 ETF,ETF,ETF-Equity,Equity Fund,3.220000,2.360-3.620,313,62.960000,0.000000,3.525000,5.110000,0.000000,17.860000,0.910000,51.820000
9687,IDEAL [s],IDEAL CAPITAL BERHAD,Main Market,Property,Property,3.500000,3.230-4.000,0,31.690000,1.000000,1.775000,11.050000,0.290000,17.850000,1.970000,1750.000000
5049,CVIEW [s],COUNTRY VIEW BERHAD,Main Market,Property,Property,3.020000,1.700-3.430,212,82.300000,53.000000,4.620000,3.670000,17.550000,17.810000,0.650000,302.000000
